State,District,DistrictType,Indicators,Urban,Rural,Total
Madhya Pradesh,Alirajpur,Rural,Population (female) age 6 years and above who ever attended school (%),NA,32.1,35.9
Madhya Pradesh,Alirajpur,Rural,Population below age 15 years (%),NA,40.7,40
Madhya Pradesh,Alirajpur,Rural,"Sex ratio of the total population (females per 1,000 males)",NA,"1,024","1,023"
Madhya Pradesh,Alirajpur,Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,953,950
Madhya Pradesh,Alirajpur,Rural,Children under age 5 years whose birth was registered (%),NA,53.4,55.6
Madhya Pradesh,Alirajpur,Rural,Households with electricity (%),NA,91.8,92.5
Madhya Pradesh,Alirajpur,Rural,Households with an improved drinking-water source1 (%),NA,88.1,89.1
Madhya Pradesh,Alirajpur,Rural,Households using improved sanitation facility2 (%),NA,10.9,17.6
Madhya Pradesh,Alirajpur,Rural,Households using clean fuel for cooking3 (%),NA,5.2,11.7
Madhya Pradesh,Alirajpur,Rural,Households using iodized salt (%),NA,93.2,93.9
Madhya Pradesh,Alirajpur,Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,3,3.3
Madhya Pradesh,Alirajpur,Rural,Women who are literate (%),NA,22,27.1
Madhya Pradesh,Alirajpur,Rural,Men who are literate (%),NA,49.4,55
Madhya Pradesh,Alirajpur,Rural,Women with 10 or more years of schooling (%),NA,6.2,9.6
Madhya Pradesh,Alirajpur,Rural,Women age 20-24 years married before age 18 years (%),NA,38.3,37.1
Madhya Pradesh,Alirajpur,Rural,Men age 25-29 years married before age 21 years (%),NA,68.8,68.6
Madhya Pradesh,Alirajpur,Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,13.9,13.5
Madhya Pradesh,Alirajpur,Rural,Any method4 (%),NA,30.7,30.9
Madhya Pradesh,Alirajpur,Rural,Any modern method4 (%),NA,30.7,30.9
Madhya Pradesh,Alirajpur,Rural,Female sterilization (%),NA,27.6,26.7
Madhya Pradesh,Alirajpur,Rural,Male sterilization (%),NA,0.1,0.1
Madhya Pradesh,Alirajpur,Rural,IUD/PPIUD (%),NA,0.6,0.6
Madhya Pradesh,Alirajpur,Rural,Pill (%),NA,1,1.8
Madhya Pradesh,Alirajpur,Rural,Condom (%),NA,1.5,1.8
Madhya Pradesh,Alirajpur,Rural,Total unmet need (%),NA,10.3,10.9
Madhya Pradesh,Alirajpur,Rural,Unmet need for spacing (%),NA,4.9,4.8
Madhya Pradesh,Alirajpur,Rural,Health worker ever talked to female non-users about family planning (%),NA,29,27.8
Madhya Pradesh,Alirajpur,Rural,Current users ever told about side effects of current method6 (%),NA,55.5,57.4
Madhya Pradesh,Alirajpur,Rural,Mothers who had antenatal check-up in the first trimester (%),NA,28,29.8
